v_products_model	v_products_image	v_products_name_1	v_products_description_1	v_products_url_1	v_products_price	v_products_weight	v_date_avail	v_date_added	v_products_quantity	v_manufacturers_name	v_categories_name_1	v_categories_name_2	v_categories_name_3	v_categories_name_4	v_categories_name_5	v_categories_name_6	v_categories_name_7	v_tax_class_title	v_status	EOREOR
MG200MMS	matrox/mg200mms.gif	Matrox G200 MMS	Reinforcing its position as a multi-monitor trailblazer, Matrox Graphics Inc. has once again developed the most flexible and highly advanced solution in the industry. Introducing the new Matrox G200 Multi-Monitor Series; the first graphics card ever to support up to four DVI digital flat panel displays on a single 8&quot; PCI board.<br><br>With continuing demand for digital flat panels in the financial workplace, the Matrox G200 MMS is the ultimate in flexible solutions. The Matrox G200 MMS also supports the new digital video interface (DVI) created by the Digital Display Working Group (DDWG) designed to ease the adoption of digital flat panels. Other configurations include composite video capture ability and onboard TV tuner, making the Matrox G200 MMS the complete solution for business needs.<br><br>Based on the award-winning MGA-G200 graphics chip, the Matrox G200 Multi-Monitor Series provides superior 2D/3D graphics acceleration to meet the demanding needs of business applications such as real-time stock quotes (Versus), live video feeds (Reuters & Bloombergs), multiple windows applications, word processing, spreadsheets and CAD.	www.matrox.com/mga/products/g200_mms/home.cfm	299.99	23		2003-11-03 12:32:17	31	Matrox	Hardware	Graphics Cards						Taxable Goods	1	EOREOR
MG400-32MB	matrox/mg400-32mb.gif	Matrox G400 32MB	<b>Dramatically Different High Performance Graphics</b><br><br>Introducing the Millennium G400 Series - a dramatically different, high performance graphics experience. Armed with the industry's fastest graphics chip, the Millennium G400 Series takes explosive acceleration two steps further by adding unprecedented image quality, along with the most versatile display options for all your 3D, 2D and DVD applications. As the most powerful and innovative tools in your PC's arsenal, the Millennium G400 Series will not only change the way you see graphics, but will revolutionize the way you use your computer.<br><br><b>Key features:</b><ul><li>New Matrox G400 256-bit DualBus graphics chip</li><li>Explosive 3D, 2D and DVD performance</li><li>DualHead Display</li><li>Superior DVD and TV output</li><li>3D Environment-Mapped Bump Mapping</li><li>Vibrant Color Quality rendering </li><li>UltraSharp DAC of up to 360 MHz</li><li>3D Rendering Array Processor</li><li>Support for 16 or 32 MB of memory</li></ul>	www.matrox.com/mga/products/mill_g400/home.htm	499.99	23		2003-11-03 12:32:17	31	Matrox	Hardware	Graphics Cards						Taxable Goods	1	EOREOR
HPLJ1100XI	hewlett_packard/lj1100xi.gif	Hewlett Packard - Sale with Attributes NOT on Sale	The Product Price is set to 499.75  <br><br>    A Sale Maker Discount of 10% is applied.  <br><br>    The attribute are marked NOT to be discounted.  <br><br>    Prior to the discount being applied:<br>  Blue +$20.00<br>  Black +$10.00<br>  White $0.00  <br><br>    4 meg +$50.00<br>  8 meg +$75.00<br>  16 meg +$100.00  <br><br>	www.pandi.hp.com/pandi-db/prodinfo.main?product=laserjet1100	499.75	45		2004-01-02 01:44:09	699	Hewlett Packard	Hardware	Printers						Taxable Goods	0	EOREOR
MSINTKB	microsoft/intkeyboardps2.gif	Microsoft Internet Keyboard PS/2	The Internet Keyboard has 10 Hot Keys on a comfortable standard keyboard design that also includes a detachable palm rest. The Hot Keys allow you to browse the web, or check e-mail directly from your keyboard. The IntelliType Pro software also allows you to customize your hot keys - make the Internet Keyboard work the way you want it to!		69.99	8		2003-11-03 12:32:17	16	Microsoft	Hardware	Keyboards						Taxable Goods	1	EOREOR
MSIMPRO	microsoft/msimpro.gif	Microsoft IntelliMouse Pro	Every element of IntelliMouse Pro - from its unique arched shape to the texture of the rubber grip around its base - is the product of extensive customer and ergonomic research. Microsoft's popular wheel control, which now allows zooming and universal scrolling functions, gives IntelliMouse Pro outstanding comfort and efficiency.	www.microsoft.com/hardware/mouse/intellimouse.asp	49.99	7		2003-11-03 12:32:17	500	Microsoft	Hardware	Mice						Taxable Goods	1	EOREOR
MSIMEXP	microsoft/imexplorer.gif	Microsoft IntelliMouse Explorer	Microsoft introduces its most advanced mouse, the IntelliMouse Explorer! IntelliMouse Explorer features a sleek design, an industrial-silver finish, a glowing red underside and taillight, creating a style and look unlike any other mouse. IntelliMouse Explorer combines the accuracy and reliability of Microsoft IntelliEye optical tracking technology, the convenience of two new customizable function buttons, the efficiency of the scrolling wheel and the comfort of expert ergonomic design. All these great features make this the best mouse for the PC!	www.microsoft.com/hardware/mouse/explorer.asp	64.95	8		2003-11-03 12:32:17	9	Microsoft	Hardware	Mice						Taxable Goods	1	EOREOR
DVD-RPMK	dvd/replacement_killers.gif	The Replacement Killers	Regional Code: 2 (Japan, Europe, Middle East, South Africa).<br>Languages: English, Deutsch.<br>Subtitles: English, Deutsch, Spanish.<br>Audio: Dolby Surround 5.1.<br>Picture Format: 16:9 Wide-Screen.<br>Length: (approx) 80 minutes.<br>Other: Interactive Menus, Chapter Selection, Subtitles (more languages).	www.replacement-killers.com	42	23		2003-11-03 12:32:17	12	Warner	DVD Movies	Action						Taxable Goods	1	EOREOR
DVD-MATR	dvd/the_matrix.gif	The Matrix Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa).  <br>  Languages: English, Deutsch.  <br>  Subtitles: English, Deutsch.  <br>  Audio: Dolby Surround.  <br>  Picture Format: 16:9 Wide-Screen.  <br>  Length: (approx) 131 minutes.  <br>  Other: Interactive Menus, Chapter Selection, Making Of.	www.thematrix.com	39.99	7		2003-11-03 12:32:17	8	Warner	DVD Movies	Action						Taxable Goods	1	EOREOR
DVD-UNSG	dvd/under_siege.gif	Under Siege Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa). <br />Languages: English, Deutsch. <br />Subtitles: English, Deutsch, Spanish. <br />Audio: Dolby Surround 5.1. <br />Picture Format: 16:9 Wide-Screen. <br />Length: (approx) 98 minutes. <br />Other: Interactive Menus, Chapter Selection, Subtitles (more languages).		29.99	7		2003-11-03 12:32:17	10	Warner	DVD Movies	Action						Taxable Goods	1	EOREOR
DVD-UNSG2	dvd/under_siege2.gif	Under Siege 2 - Dark Territory	Regional Code: 2 (Japan, Europe, Middle East, South Africa). <br> Languages: English, Deutsch. <br> Subtitles: English, Deutsch, Spanish. <br> Audio: Dolby Surround 5.1. <br> Picture Format: 16:9 Wide-Screen. <br> Length: (approx) 98 minutes. <br> Other: Interactive Menus, Chapter Selection, Subtitles (more languages).		29.99	7		2003-11-03 12:32:17	9	Warner	DVD Movies	Action						Taxable Goods	1	EOREOR
